upc_plu,description,department,Category,UnitSize,Pack,LinkCode
-------,-----------,----------,--------,--------,----,--------
3001,Yellow Banana,12,10010205,1.000,1,NULL
3002,Gala Apple,12,10010103,1.000,1,NULL
3003,Strawberry Package,12,10010305,1.000,12,NULL
3004,Red Grapes,12,10010208,1.000,1,NULL
3005,Plum Tomato,12,10020106,1.000,1,NULL
3006,Red Bell Pepper,12,10020203,1.000,1,NULL
3007,Green Leaf Lettuce,12,10020303,1.000,1,NULL
3008,Baby Carrot Bag,12,10020408,1.000,2,NULL
3009,Whole Milk Gallon,17,20010101,1.000,1,NULL
3010,Strawberry Yogurt,17,20020304,5.300,1,NULL
3011,Mozzarella Cheese,17,20030103,1.000,1,NULL
3012,Organic Eggs,17,20040103,1.000,12,NULL
3013,European Butter,17,20010207,1.000,4,NULL
3014,Multigrain Bread,24,25010103,1.000,1,NULL
3015,Italian Bread,24,25010105,1.000,1,NULL
3016,English Muffins,24,25020103,1.000,6,NULL
3017,Boneless Chicken,29,30010106,1.000,1,NULL
3018,Ground Chuck,29,30020203,1.000,1,NULL
3019,Cod Fillet,29,30030106,1.000,1,NULL
3020,Frozen Lasagna,34,35010205,1.000,1,NULL
3021,Strawberry Ice Cream,34,35020102,1.000,1,NULL
3022,Grapefruit Juice,39,40010103,64.000,1,NULL
3023,Pineapple Juice,39,40010104,64.000,1,NULL
3024,Diet Soda,39,40020106,2.000,1,NULL
3025,Pretzels,44,45010103,16.000,1,NULL
3026,Oatmeal Cookies,44,45020203,12.000,1,NULL
3027,Cashews,44,45030104,10.000,1,NULL
3028,Rigatoni Pasta,49,50010206,1.000,1,NULL
3029,Pesto Sauce,49,50020104,8.000,1,NULL
3030,Vegetable Oil,49,50030106,48.000,1,NULL
3031,Fabric Softener,59,60010106,64.000,1,NULL
3032,Aluminum Foil,59,60020203,1.000,1,NULL
3033,Plastic Wrap,59,60020204,1.000,1,NULL
3034,Dish Detergent,59,60030102,24.000,1,NULL
3035,Hair Gel,59,60040106,8.000,1,NULL
3036,Dental Floss,59,60050103,1.000,1,NULL
3037,Clearance Item,69,NULL,1.000,1,NULL
3038,E-Gift Card,79,80010102,1.000,1,NULL
3039,Insulated Bag,79,80020103,1.000,1,NULL
3040,Brussels Sprouts,12,10020513,1.000,1,NULL
