store,upc_plu,price,price_type,price_priority,start_date,end_date
-----,-------,-----,----------,--------------,----------,--------
201,2001,0.69,REG,NULL,2026-02-01,NULL
201,2002,2.29,REG,NULL,2026-02-01,NULL
201,2003,5.49,REG,NULL,2026-02-01,NULL
201,2004,3.29,TPR,99,2026-02-01,2026-02-14
201,2005,3.49,REG,NULL,2026-02-01,NULL
201,2006,1.99,REG,NULL,2026-02-01,NULL
201,2007,1.99,REG,NULL,2026-02-01,NULL
201,2008,2.49,REG,NULL,2026-02-01,NULL
201,2009,3.99,REG,NULL,2026-02-01,NULL
201,2010,1.29,REG,NULL,2026-02-01,NULL
201,2011,5.49,REG,NULL,2026-02-01,NULL
201,2012,5.49,REG,NULL,2026-02-01,NULL
201,2013,4.99,REG,NULL,2026-02-01,NULL
201,2014,3.49,REG,NULL,2026-02-01,NULL
201,2015,3.29,REG,NULL,2026-02-01,NULL
201,2016,4.99,REG,NULL,2026-02-01,NULL
201,2017,8.99,REG,NULL,2026-02-01,NULL
201,2018,6.99,REG,NULL,2026-02-01,NULL
201,2019,13.99,TPR,99,2026-02-01,2026-02-15
201,2020,3.99,REG,NULL,2026-02-01,NULL
201,2021,5.49,REG,NULL,2026-02-01,NULL
201,2022,5.49,REG,NULL,2026-02-01,NULL
201,2023,4.29,REG,NULL,2026-02-01,NULL
201,2024,5.99,REG,NULL,2026-02-01,NULL
201,2025,3.49,AD,35,2026-02-01,2026-02-07
201,2026,5.29,REG,NULL,2026-02-01,NULL
201,2027,7.99,REG,NULL,2026-02-01,NULL
201,2028,2.49,REG,NULL,2026-02-01,NULL
201,2029,3.29,REG,NULL,2026-02-01,NULL
201,2030,11.99,REG,NULL,2026-02-01,NULL
201,2031,8.99,AD,35,2026-02-01,2026-02-07
201,2032,6.99,REG,NULL,2026-02-01,NULL
201,2033,4.99,REG,NULL,2026-02-01,NULL
201,2034,5.99,REG,NULL,2026-02-01,NULL
201,2035,7.99,REG,NULL,2026-02-01,NULL
201,2036,6.49,REG,NULL,2026-02-01,NULL
201,2041,4.49,REG,NULL,2026-02-01,NULL
201,2042,3.99,REG,NULL,2026-02-01,NULL
201,2043,2.49,TPR,99,2026-02-01,2026-02-15
201,2044,6.99,REG,NULL,2026-02-01,NULL
202,2001,0.74,REG,NULL,2026-02-01,NULL
202,2002,2.49,REG,NULL,2026-02-01,NULL
202,2004,3.09,TPR,99,2026-02-01,2026-02-14
