upc_plu, description, department, category, unit_size, pack_size, link_code
80000000001001,Organic Bananas,PRODUCE,FRUIT,1LB,40,BANANAS BULK, 80000000001001, 
80000000001002,FRESH STRAWBERRIES,PRODUCE,FRUIT,1LB,12,STRAWBERRIES BULK, 80000000001002, 
80000000001003,Blueberries Organic,PRODUCE,FRUIT,6OZ,18, 
80000000001004,Hass Avocados,PRODUCE,FRUIT,EACH,48,AVOCADOS BULK, 80000000001004, 
80000000001005,ROMAINE LETTUCE,PRODUCE,VEGETABLE,1CT,24, 
80000000001006,Baby Spinach,PRODUCE,VEGETABLE,16OZ,12, 
80000000001007,Kale Bunches,PRODUCE,VEGETABLE,1CT,12, 
80000000001008,SWEET CORN,PRODUCE,VEGETABLE,EACH,48, 
80000000001009,Cherry Tomatoes,PRODUCE,VEGETABLE,1LB,12, 
80000000001010,GRAPE TOMATOES,PRODUCE,VEGETABLE,10OZ,15, 
80000000001011,Carrots Organic,PRODUCE,VEGETABLE,1LB,24, 
80000000001012,Broccoli Crowns,PRODUCE,VEGETABLE,1LB,18,BROCCOLI BULK, 80000000001012, 
80000000001013,Cauliflower,PRODUCE,VEGETABLE,1CT,12, 
80000000001014,GREEN BEANS,PRODUCE,VEGETABLE,1LB,12, 
80000000001015,Yellow Squash,PRODUCE,VEGETABLE,1LB,24, 
80000000001016,ZUCCHINI,PRODUCE,VEGETABLE,1LB,24, 
80000000001017,Red Bell Peppers,PRODUCE,VEGETABLE,EACH,24,RED PEPPER BULK, 80000000001017, 
80000000001018,Green Bell Peppers,PRODUCE,VEGETABLE,EACH,24, 
80000000001019,YELLOW ONIONS,PRODUCE,VEGETABLE,1LB,50, 
80000000001020,Red Onions,PRODUCE,VEGETABLE,1LB,50,RED ONIONS BULK, 80000000001020, 
80000000001021,RUSSET POTATOES,PRODUCE,VEGETABLE,5LB,10, 
80000000001022,Sweet Potatoes,PRODUCE,VEGETABLE,1LB,40, 
80000000001023,Yukon Gold Potatoes,PRODUCE,,3LB,8, 
80000000001024,GARLIC BULBS,PRODUCE,VEGETABLE,3CT,36, 
80000000001025,Fresh Ginger Root,PRODUCE,VEGETABLE,1LB,10, 
80000000001026,Seedless Watermelon,PRODUCE,FRUIT,EACH,50, 
80000000001027,CANTALOUPE,PRODUCE,FRUIT,EACH,30, 
80000000001028,Honeydew Melon,PRODUCE,FRUIT,EACH,20, 
80000000001029,Red Grapes Seedless,PRODUCE,FRUIT,1LB,18,RED GRAPES BULK, 80000000001029, 
80000000001030,GREEN GRAPES SEEDLESS,PRODUCE,FRUIT,1LB,18, 
80000000001031,Fuji Apples,PRODUCE,FRUIT,1LB,40,FUJI APPLES BULK, 80000000001031, 
80000000001032,GALA APPLES,PRODUCE,FRUIT,1LB,40, 
80000000001033,Granny Smith Apples,PRODUCE,FRUIT,1LB,40, 
80000000001034,NULL,PRODUCE,FRUIT,1CT,88,NAVEL ORANGES BULK, 80000000001034, 
80000000001035,Mandarin Oranges,PRODUCE,FRUIT,3LB,8, 
80000000001036,LEMONS,PRODUCE,FRUIT,1CT,75, 
80000000001037,Limes,PRODUCE,FRUIT,1CT,54, 
80000000001038,PINEAPPLE FRESH,PRODUCE,FRUIT,EACH,8, 
80000000001039,Mangoes,PRODUCE,FRUIT,EACH,18, 
80000000001040,BARTLETT PEARS,PRODUCE,FRUIT,1LB,40, 
80000000001041,Bosc Pears,PRODUCE,FRUIT,1LB,40, 
80000000001042,ASPARAGUS,PRODUCE,VEGETABLE,1LB,11, 
80000000001043,Brussels Sprouts,PRODUCE,VEGETABLE,1LB,12, 
80000000001044,Fresh Cilantro,PRODUCE,HERBS,1CT,24, 
80000000001045,FRESH PARSLEY,PRODUCE,HERBS,1CT,24, 
80000000001046,Fresh Basil,PRODUCE,HERBS,1CT,12, 
80000000001047,Radishes,PRODUCE,VEGETABLE,1LB,24, 
