store, upc_plu, unit_size, description, sale_time, sale_time_zone, price_type, price_priority, price_multiple, unit_multiple, unit_price, units_sold, total_sale
SP1,80000000001001,1LB,ORGANIC BANANAS,1769472000000,US/Eastern,AD,2,0.00,0.0,0.59,4.8200,2.8438
SP1,80000000001002,1LB,FRESH STRAWBERRIES,1769472000000,US/Eastern,AD,2,2.99,1.0,2.99,1.00,2.99
SP1,80000000001003,6OZ,BLUEBERRIES ORGANIC,1769472000000,US/Eastern,AD,2,3.99,1.0,3.99,1.00,3.99
SP1,80000000001004,EACH,HASS AVOCADOS,1769472000000,US/Eastern,AD,2,3.96,4.0,0.99,4.00,3.96
SP1,80000000001005,1CT,ROMAINE LETTUCE,1769472000000,US/Eastern,AD,2,3.98,2.0,1.99,2.00,3.98
SP1,80000000001006,16OZ,BABY SPINACH,1769472000000,US/Eastern,REG,1,3.99,1.0,3.99,1.00,3.99
SP1,80000000001007,1CT,KALE BUNCHES,1769472000000,US/Eastern,REG,1,5.98,2.0,2.99,2.00,5.98
SP1,80000000001008,EACH,SWEET CORN,1769472000000,US/Eastern,REG,1,3.00,6.0,0.50,6.00,3.00
SP1,80000000001009,1LB,CHERRY TOMATOES,1769472000000,US/Eastern,REG,1,10.47,3.0,3.49,3.00,10.47
SP1,80000000001010,10OZ,GRAPE TOMATOES,1769472000000,US/Eastern,REG,1,5.98,2.0,2.99,2.00,5.98
SP1,80000000001011,1LB,CARROTS ORGANIC,1769472000000,US/Eastern,REG,1,0.00,0.0,1.99,3.4200,6.8058
SP1,80000000001012,1LB,BROCCOLI CROWNS,1769472000000,US/Eastern,AD,2,0.00,0.0,2.49,2.1500,5.3535
SP1,80000000001013,1CT,CAULIFLOWER,1769472000000,US/Eastern,AD,2,2.99,1.0,2.99,1.00,2.99
SP1,80000000001014,1LB,GREEN BEANS,1769472000000,US/Eastern,REG,1,0.00,0.0,2.49,2.8700,7.1463
SP1,80000000001015,1LB,YELLOW SQUASH,1769472000000,US/Eastern,REG,1,0.00,0.0,1.49,1.9800,2.9502
