upc_plu,description,department,Category,UnitSize,Pack,LinkCode
-------,-----------,----------,--------,--------,----,--------
1001,Organic Bananas,15,10010205,1.000,1,NULL
1002,Red Delicious Apples,15,10010100,1.000,1,NULL
1003,Fresh Strawberries,15,10010305,1.000,12,NULL
1004, Seedless Grapes ,15,10010207,1.000,1,NULL
1005,Roma Tomatoes,15,10020105,1.000,1,NULL
1006,Green Bell Peppers,15,NULL,1.000,1,NULL
1007,Romaine Lettuce,15,10020302,1.000,1,NULL
1008,Baby Carrots,15,10020408,1.000,2,NULL
1009,Whole Milk,20,20010101,1.000,1,NULL
1010,Greek Yogurt,20,NULL,5.300,1,NULL
1011,Cheddar Cheese,20,20030102,1.000,1,NULL
1012,Large Eggs,20,20040101,1.000,12,NULL
1013,Butter Unsalted,20,20010205,1.000,4,NULL
1014,Whole Wheat Bread,25,25010101,1.000,1,NULL
1015,White Bread,25,25010102,1.000,1,NULL
1016,Bagels Plain,25,25020101,1.000,6,NULL
1017,Chicken Breast,30,30010105,1.000,1,NULL
1018,Ground Beef 80/20,30,30020201,1.000,1,NULL
1019,Salmon Fillet,30,30030105,1.000,1,NULL
1020,Frozen Pizza,35,35010203,1.000,1,NULL
1021,Ice Cream Vanilla,35,35020101,1.000,1,NULL
1022,Orange Juice,40,40010102,64.000,1,NULL
1023,Apple Juice,40,40010101,NULL,1,NULL
1024,Soda Cola,40,40020105,2.000,1,NULL
1025,Potato Chips,45,45010102,10.000,1,NULL
1026,Cookies Chocolate Chip,45,45020202,NULL,1,NULL
1027,Trail Mix,45,45030101,1.000,1,NULL
1028,Pasta Penne,50,50010205,1.000,1,NULL
1029,Tomato Sauce,50,50020101,24.000,1,NULL
1030,Olive Oil,50,50030105,1.000,1,NULL
1031,LAUNDRY DETERGENT,60,60010105,100.000,1,NULL
1032,Paper Towels,60,60020201,1.000,6,NULL
1033,Toilet Paper,60,60020202,1.000,12,NULL
1034,Hand Soap,60,60030101,NULL,1,NULL
1035,Shampoo,60,60040105,12.000,1,NULL
1036,Toothpaste,60,60050102,6.000,1,NULL
1037,SPECIAL PROMO ITEM,70,NULL,1.000,1,NULL
1038,Gift Card,80,80010101,1.000,1,NULL
1039,Reusable Bag,80,80020101,1.000,1,NULL
1040,NULL,15,10010305,1.000,1,NULL
