store,upc_plu,unit_size,description,sale_time,sale_time_zone,price_type,price_priority,unit_price,units_sold,Sales_Total
-----,-------,---------,-----------,---------,--------------,----------,--------------,----------,----------,-----------
101,1001,1 LB,Organic Bananas,1768867345000,US/Eastern,REG,NULL,0.59,3.25,1.92
101,1002,1 LB,Red Delicious Apples,1768867456000,US/Eastern,REG,NULL,1.99,2.10,4.18
101,1009,1 GAL,Whole Milk,1768867567000,US/Eastern,REG,NULL,3.49,1.00,3.49
101,1012,1 DOZ,Large Eggs,1768867678000,US/Eastern,TPR,99,3.29,2.00,6.58
101,1014,1 LOAF,Whole Wheat Bread,1768867789000,US/Eastern,REG,NULL,2.99,1.00,2.99
101,1003,1 LB,Fresh Strawberries,1768867890000,US/Eastern,TPR,99,3.99,1.00,3.99
101,1008,2 LB,Baby Carrots,1768868001000,US/Eastern,REG,NULL,2.99,1.00,2.99
101,1017,1 LB,Chicken Breast,1768868112000,US/Eastern,REG,NULL,7.99,2.50,19.98
101,1001,1 LB,Organic Bananas,1768868223000,US/Eastern,REG,NULL,0.59,4.10,2.42
101,1005,1 LB,Roma Tomatoes,1768868334000,US/Eastern,REG,NULL,1.79,1.85,3.31
101,1006,1 EA,Green Bell Peppers,1768868445000,US/Eastern,AD,35,1.49,3.00,4.47
101,1024,2 L,Soda Cola,1768868556000,US/Eastern,REG,NULL,1.99,2.00,3.98
101,1025,10 OZ,Potato Chips,1768868667000,US/Eastern,AD,35,3.49,1.00,3.49
101,1018,1 LB,Ground Beef 80/20,1768868778000,US/Eastern,AD,35,5.99,3.25,19.47
101,1015,1 LOAF,White Bread,1768868889000,US/Eastern,REG,NULL,2.49,1.00,2.49
101,1022,64 OZ,Orange Juice,1768869000000,US/Eastern,REG,NULL,4.49,1.00,4.49
101,1001,1 LB,Organic Bananas,1768869111000,US/Eastern,REG,NULL,0.59,2.75,1.62
101,1010,5.3 OZ,Greek Yogurt,1768869222000,US/Eastern,REG,NULL,5.99,4.00,23.96
101,1028,1 LB,Pasta Penne,1768869333000,US/Eastern,REG,NULL,1.99,2.00,3.98
101,1029,24 OZ,Tomato Sauce,1768869444000,US/Eastern,REG,NULL,2.49,2.00,4.98
101,1011,8 OZ,Cheddar Cheese,1768869555000,US/Eastern,REG,NULL,4.99,1.00,4.99
101,1020,1 EA,Frozen Pizza,1768869666000,US/Eastern,TPR,99,6.99,1.00,6.99
101,1004,1 LB,Seedless Grapes,1768869777000,US/Eastern,REG,NULL,2.49,3.50,8.72
101,1032,6 ROLL,Paper Towels,1768869888000,US/Eastern,REG,NULL,8.99,1.00,8.99
101,1033,12 ROLL,Toilet Paper,1768869999000,US/Eastern,REG,NULL,14.99,1.00,14.99
101,1001,1 LB,Organic Bananas,1768870110000,US/Eastern,REG,NULL,0.59,5.25,3.10
101,1002,1 LB,Red Delicious Apples,1768870221000,US/Eastern,REG,NULL,1.99,1.40,2.79
101,1007,1 HEAD,Romaine Lettuce,1768870332000,US/Eastern,REG,NULL,2.29,2.00,4.58
101,1021,0.5 GAL,Ice Cream Vanilla,1768870443000,US/Eastern,REG,NULL,4.99,1.00,4.99
101,1013,1 LB,Butter Unsalted,1768870554000,US/Eastern,REG,NULL,4.49,1.00,4.49
101,1031,100 OZ,LAUNDRY DETERGENT,1768870665000,US/Eastern,TPR,99,12.99,1.00,12.99
102,1001,1 LB,Organic Bananas,1768870776000,US/Central,REG,NULL,0.64,2.50,1.60
102,1002,1 LB,Red Delicious Apples,1768870887000,US/Central,REG,NULL,2.19,1.75,3.83
102,1003,1 LB,Fresh Strawberries,1768870998000,US/Central,TPR,99,4.29,1.00,4.29
102,1006,1 EA,Green Bell Peppers,1768871109000,US/Central,AD,35,1.29,2.00,2.58
101,1039,1 EA,Reusable Bag,1768871220000,US/Eastern,REG,NULL,0.99,3.00,2.97
101,1001,1 LB,Organic Bananas,1768871331000,US/Eastern,REG,NULL,0.59,1.85,1.09
101,9999,1 EA,UNKNOWN ITEM,1768871442000,US/Eastern,REG,NULL,5.00,1.00,5.00
