store,upc_plu,price,price_type,price_priority,start_date,end_date
-----,-------,-----,----------,--------------,----------,--------
101,1001,0.59,REG,NULL,2026-01-25,NULL
101,1002,1.99,REG,NULL,2026-01-25,NULL
101,1003,4.99,REG,NULL,2026-01-25,NULL
101,1004,2.99,TPR,99,2026-01-25,2026-02-05
101,1005,1.79,REG,NULL,2026-01-25,NULL
101,1006,1.49,REG,NULL,2026-01-25,NULL
101,1007,2.29,REG,NULL,2026-01-25,NULL
101,1008,2.99,REG,NULL,2026-01-25,NULL
101,1009,3.49,REG,NULL,2026-01-25,NULL
101,1010,5.99,REG,NULL,2026-01-25,NULL
101,1011,4.99,REG,NULL,2026-01-25,NULL
101,1012,3.79,REG,NULL,2026-01-25,NULL
101,1013,4.49,REG,NULL,2026-01-25,NULL
101,1014,2.99,REG,NULL,2026-01-25,NULL
101,1015,2.49,REG,NULL,2026-01-25,NULL
101,1016,3.99,REG,NULL,2026-01-25,NULL
101,1017,7.99,REG,NULL,2026-01-25,NULL
101,1018,6.49,REG,NULL,2026-01-25,NULL
101,1019,11.99,TPR,99,2026-01-25,2026-02-08
101,1020,6.99,REG,NULL,2026-01-25,NULL
101,1021,4.99,REG,NULL,2026-01-25,NULL
101,1022,4.49,REG,NULL,2026-01-25,NULL
101,1023,3.99,REG,NULL,2026-01-25,NULL
101,1024,1.99,REG,NULL,2026-01-25,NULL
101,1025,2.99,AD,35,2026-01-25,2026-02-01
101,1026,4.29,REG,NULL,2026-01-25,NULL
101,1027,5.99,REG,NULL,2026-01-25,NULL
101,1028,1.99,REG,NULL,2026-01-25,NULL
101,1029,2.49,REG,NULL,2026-01-25,NULL
101,1030,8.99,REG,NULL,2026-01-25,NULL
101,1031,11.99,AD,35,2026-01-25,2026-02-01
101,1032,8.99,REG,NULL,2026-01-25,NULL
101,1033,14.99,REG,NULL,2026-01-25,NULL
101,1034,3.99,REG,NULL,2026-01-25,NULL
101,1035,6.99,REG,NULL,2026-01-25,NULL
101,1036,4.49,REG,NULL,2026-01-25,NULL
101,1041,3.49,REG,NULL,2026-01-25,NULL
101,1042,1.29,REG,NULL,2026-01-25,NULL
101,1043,1.99,TPR,99,2026-01-25,2026-02-08
101,1044,5.99,REG,NULL,2026-01-25,NULL
102,1001,0.64,REG,NULL,2026-01-25,NULL
102,1002,2.19,REG,NULL,2026-01-25,NULL
102,1004,2.79,TPR,99,2026-01-25,2026-02-05
