store, upc_plu, unit_size, description, sale_time, sale_time_zone, price_type, price_priority, price_multiple, unit_multiple, unit_price, units_sold, total_sale
SP2,80000000001001,1LB,organic Bananas,1769472000000,US/Eastern,AD,2,0.00,0.0,0.59,5.2100,3.0739
SP2,80000000001002,1LB,Fresh Strawberries,1769472000000,US/Eastern,AD,2,5.98,2.0,2.99,2.00,5.98
SP2,80000000001003,6OZ,BLUEBERRIES ORGANIC,1769472000000,US/Eastern,AD,2,7.98,2.0,3.99,2.00,7.98
SP2,80000000001004,EACH,Hass Avocados ,1769472000000,US/Eastern,AD,2,4.95,5.0,0.99,5.00,4.95
SP2,80000000001005,1CT,romaine lettuce,1769472000000,US/Eastern,AD,2,5.97,3.0,1.99,3.00,5.97
SP2,80000000001006,16OZ,BABY SPINACH,1769472000000,US/Eastern,REG,1,7.98,2.0,3.99,2.00,7.98
SP2,80000000001007,1CT,Kale Bunches,1769472000000,US/Eastern,REG,1,2.99,1.0,2.99,1.00,2.99
SP2,80000000001008,EACH,Sweet Corn,1769472000000,US/Eastern,REG,1,4.00,8.0,0.50,8.00,4.00
SP2,80000000001009,1LB,Cherry tomatoes,1769472000000,US/Eastern,REG,1,6.98,2.0,3.49,2.00,6.98
SP2,80000000001010,10OZ,GRAPE TOMATOES,1769472000000,US/Eastern,REG,1,8.97,3.0,2.99,3.00,8.97
SP2,80000000001011,1LB,carrots organic,1769472000000,US/Eastern,REG,1,0.00,0.0,1.99,4.1200,8.1988
SP2,80000000001012,1LB,Broccoli Crowns,1769472000000,US/Eastern,AD,2,0.00,0.0,2.49,2.8900,7.1961
SP2,80000000001013,1CT,Cauliflower,1769472000000,US/Eastern,AD,2,5.98,2.0,2.99,2.00,5.98
SP2,80000000001014,1LB,green beans,1769472000000,US/Eastern,REG,1,0.00,0.0,2.49,1.9800,4.9302
SP2,80000000001016,1LB,Zucchini,1769472000000,US/Eastern,REG,1,0.00,0.0,1.49,1.7800,2.6522
SP2,80000000001017,EACH,red bell peppers,1769472000000,US/Eastern,AD,2,5.96,4.0,1.49,4.00,5.96
SP2,80000000001018,EACH,Green Bell Peppers,1769472000000,US/Eastern,AD,2,5.94,6.0,0.99,6.00,5.94
SP2,80000000001019,1LB,yellow onions,1769472000000,US/Eastern,REG,1,0.00,0.0,0.99,6.2300,6.1677
SP2,80000000001020,1LB,RED ONIONS,1769472000000,US/Eastern,REG,1,0.00,0.0,1.29,4.5600,5.8824
SP2,80000000001021,5LB,Russet Potatoes,1769472000000,US/Eastern,REG,1,9.98,2.0,4.99,2.00,9.98
SP2,80000000001022,1LB,Sweet potatoes,1769472000000,US/Eastern,REG,1,0.00,0.0,1.49,3.8900,5.7961
SP2,80000000001029,1LB,Red grapes seedless,1769472000000,US/Eastern,AD,2,0.00,0.0,2.99,3.8900,11.6311
SP2,80000000001030,1LB,green grapes Seedless,1769472000000,US/Eastern,REG,1,0.00,0.0,3.99,3.2100,12.8079
SP2,80000000001031,1LB,FUJI APPLES,1769472000000,US/Eastern,REG,1,0.00,0.0,1.99,5.1200,10.1888
SP2,80000000001032,1LB,Gala Apples,1769472000000,US/Eastern,REG,1,0.00,0.0,1.79,3.7800,6.7662
SP2,80000000001033,1LB,granny smith apples,1769472000000,US/Eastern,REG,1,0.00,0.0,1.89,2.9100,5.4999
SP2,80000000001034,1CT,Navel Oranges,1769472000000,US/Eastern,REG,1,5.53,7.0,0.79,7.00,5.53
SP2,80000000001036,1CT,lemons,1769472000000,US/Eastern,REG,1,3.54,6.0,0.59,6.00,3.54
SP2,80000000001037,1CT,Limes,1769472000000,US/Eastern,REG,1,2.45,5.0,0.49,5.00,2.45
SP2,80000000001038,EACH,pineapple fresh,1769472000000,US/Eastern,REG,1,3.99,1.0,3.99,1.00,3.99
SP2,80000000001039,EACH,Mangoes,1769472000000,US/Eastern,REG,1,4.47,3.0,1.49,3.00,4.47
SP2,80000000001040,1LB,bartlett pears,1769472000000,US/Eastern,REG,1,0.00,0.0,1.99,2.1500,4.2785
SP2,80000000001042,1LB,Asparagus,1769472000000,US/Eastern,REG,1,0.00,0.0,4.99,2.1200,10.5788
SP2,80000000001043,1LB,brussels Sprouts,1769472000000,US/Eastern,REG,1,0.00,0.0,3.99,0.9800,3.9102
SP2,80000000001044,1CT,Fresh cilantro,1769472000000,US/Eastern,REG,1,1.98,2.0,0.99,2.00,1.98
SP2,80000000001048,1CT,Celery,1769472000000,US/Eastern,REG,1,3.98,2.0,1.99,2.00,3.98
SP2,80000000001049,EACH,English cucumber,1769472000000,US/Eastern,REG,1,5.37,3.0,1.79,3.00,5.37
SP2,80000000001051,1LB,peaches,1769472000000,US/Eastern,REG,1,0.00,0.0,2.99,1.8900,5.6511
SP2,80000000001052,1LB,nectarines,1769472000000,US/Eastern,REG,1,0.00,0.0,2.99,2.3400,6.9966
SP2,80000000001053,1LB,Plums,1769472000000,US/Eastern,REG,1,0.00,0.0,2.49,1.1200,2.7888
SP2,80000000001054,6OZ,blackberries,1769472000000,US/Eastern,REG,1,4.99,1.0,4.99,1.00,4.99
