upc_plu, description, department, category, unit_size, pack_size, link_code
80000000001001,Organic bananas,PRODUCE,FRUIT,1LB,40,BANANAS BULK, 80000000001001, 
80000000001002,Fresh strawberries,PRODUCE,FRUIT,1LB,12,STRAWBERRIES BULK, 80000000001002, 
80000000001003,Blueberries Organic,PRODUCE,FRUIT,6OZ,18, 
80000000001004,Hass Avocados,PRODUCE,FRUIT,EACH,48,AVOCADOS BULK, 80000000001004, 
80000000001005,Romaine Lettuce,PRODUCE,VEGETABLE,1CT,24, 
80000000001006,baby spinach,PRODUCE,VEGETABLE,16OZ,12, 
80000000001007,Kale bunches,PRODUCE,VEGETABLE,1CT,12, 
80000000001008,sweet Corn,PRODUCE,VEGETABLE,EACH,48, 
80000000001009,Cherry TOMATOES,PRODUCE,VEGETABLE,1LB,12, 
80000000001010,grape tomatoes,PRODUCE,VEGETABLE,10OZ,15, 
80000000001011,Carrots organic,PRODUCE,VEGETABLE,1LB,24, 
80000000001012,broccoli crowns,PRODUCE,VEGETABLE,1LB,18,BROCCOLI BULK, 80000000001012, 
80000000001013,CAULIFLOWER,PRODUCE,VEGETABLE,1CT,12, 
80000000001014,Green Beans,PRODUCE,VEGETABLE,1LB,12, 
80000000001015,yellow Squash,PRODUCE,VEGETABLE,1LB,24, 
80000000001016,Zucchini,PRODUCE,VEGETABLE,1LB,24, 
80000000001017,Red bell peppers,PRODUCE,VEGETABLE,EACH,24,RED PEPPER BULK, 80000000001017, 
80000000001018,green bell Peppers,PRODUCE,VEGETABLE,EACH,24, 
80000000001019,yellow Onions,PRODUCE,VEGETABLE,1LB,50, 
80000000001020,Red onions,PRODUCE,VEGETABLE,1LB,50,RED ONIONS BULK, 80000000001020, 
80000000001021,Russet potatoes,PRODUCE,VEGETABLE,5LB,10, 
80000000001022,sweet Potatoes,PRODUCE,VEGETABLE,1LB,40, 
80000000001023,yukon Gold Potatoes,PRODUCE,VEGETABLE,3LB,8, 
80000000001024,garlic Bulbs,PRODUCE,VEGETABLE,3CT,36, 
80000000001025,Fresh ginger Root,PRODUCE,VEGETABLE,1LB,10, 
80000000001026,Seedless watermelon,PRODUCE,FRUIT,EACH,50, 
80000000001027,Cantaloupe,PRODUCE,FRUIT,EACH,30, 
80000000001028,honeydew Melon,PRODUCE,FRUIT,EACH,20, 
80000000001029,red Grapes Seedless,PRODUCE,FRUIT,1LB,18,RED GRAPES BULK, 80000000001029, 
80000000001030,Green grapes Seedless,PRODUCE,FRUIT,1LB,18, 
80000000001031,Fuji apples,PRODUCE,FRUIT,1LB,40,FUJI APPLES BULK, 80000000001031, 
80000000001032,Gala apples,PRODUCE,FRUIT,1LB,40, 
80000000001033,granny Smith Apples,PRODUCE,FRUIT,1LB,40, 
80000000001034,navel Oranges,PRODUCE,FRUIT,1CT,88,NAVEL ORANGES BULK, 80000000001034, 
80000000001035,mandarin Oranges,PRODUCE,FRUIT,3LB,8, 
80000000001036,Lemons,PRODUCE,FRUIT,1CT,75, 
80000000001037,Limes,PRODUCE,FRUIT,1CT,54, 
80000000001038,pineapple fresh,PRODUCE,FRUIT,EACH,8, 
80000000001039,Mangoes,PRODUCE,FRUIT,EACH,18, 
80000000001040,Bartlett Pears,PRODUCE,FRUIT,1LB,40, 
80000000001041,BOSC PEARS,PRODUCE,FRUIT,1LB,40, 
80000000001042,Asparagus,PRODUCE,VEGETABLE,1LB,11, 
80000000001043,Brussels sprouts,PRODUCE,VEGETABLE,1LB,12, 
80000000001044,fresh Cilantro,PRODUCE,HERBS,1CT,24, 
80000000001045,Fresh Parsley,PRODUCE,HERBS,1CT,24, 
80000000001046,fresh basil,PRODUCE,HERBS,1CT,12, 
80000000001047,Radishes,PRODUCE,VEGETABLE,1LB,24, 
80000000001048,Celery,PRODUCE,VEGETABLE,1CT,24, 
80000000001049,English cucumber,PRODUCE,VEGETABLE,EACH,24, 
80000000001050,Slicing tomatoes,PRODUCE,VEGETABLE,1LB,25, 
80000000001051,peaches,PRODUCE,FRUIT,1LB,30, 
80000000001052,nectarines,PRODUCE,FRUIT,1LB,30, 
80000000001053,Plums,PRODUCE,FRUIT,1LB,28, 
80000000001054,blackberries,PRODUCE,FRUIT,6OZ,12, 
80000000001055,Raspberries,PRODUCE,FRUIT,6OZ,12, 
80000000001056,Mixed greens Salad,PRODUCE,VEGETABLE,10OZ,12, 
80000000001057,Arugula,PRODUCE,VEGETABLE,5OZ,12, 
80000000001058,Bok choy,PRODUCE,VEGETABLE,1LB,12, 
